path,sha256,category,line,excerpt
_ARC1_CLARIFICATION_WORK/actual.txt,783332315560d003322e7310336b5a4751b28a3b1f62d0e3b078c7fcd2f386c0,release_label,1,ARC1 minimal exact controlmodel_dimension=6endpoint_annihilation=verifiedsupport_firewall=k>=j+2 (j=1..6 exhaustive)first_order_word=H0*D*H0 at k=3second_order_word=H0*D^2*H0 at k=4ell(eta)=eta^2Q(eta)=1+eta^2[s^6]K=0[s^7]K=4/5comparison=byte-for-byte
_ARC1_CLARIFICATION_WORK/ARC1_FRESH/_ARC1_CORRECTED_WORK/FRESH_VERIFY_R1_0/M3A_THREE_SCALE_MOVING_DIRECTION_ARC1/ARC1_CERTIFICATES.json,a4194b5be2f8bcc3309dd4d2089a5b6e828f6637ca2105b4aa364f8aacd0c4a1,release_label,11,"""ARC1-0"": {"
_ARC1_CLARIFICATION_WORK/ARC1_FRESH/_ARC1_CORRECTED_WORK/FRESH_VERIFY_R1_0/M3A_THREE_SCALE_MOVING_DIRECTION_ARC1/ARC1_CERTIFICATES.json,a4194b5be2f8bcc3309dd4d2089a5b6e828f6637ca2105b4aa364f8aacd0c4a1,release_label,15,"""ARC1-A"": {"
_ARC1_CLARIFICATION_WORK/ARC1_FRESH/_ARC1_CORRECTED_WORK/FRESH_VERIFY_R1_0/M3A_THREE_SCALE_MOVING_DIRECTION_ARC1/ARC1_CERTIFICATES.json,a4194b5be2f8bcc3309dd4d2089a5b6e828f6637ca2105b4aa364f8aacd0c4a1,release_label,19,"""ARC1-B"": {"
_ARC1_CLARIFICATION_WORK/ARC1_FRESH/_ARC1_CORRECTED_WORK/FRESH_VERIFY_R1_0/M3A_THREE_SCALE_MOVING_DIRECTION_ARC1/ARC1_CERTIFICATES.json,a4194b5be2f8bcc3309dd4d2089a5b6e828f6637ca2105b4aa364f8aacd0c4a1,release_label,23,"""ARC1-C"": {"
_ARC1_CLARIFICATION_WORK/ARC1_FRESH/_ARC1_CORRECTED_WORK/FRESH_VERIFY_R1_0/M3A_THREE_SCALE_MOVING_DIRECTION_ARC1/ARC1_CERTIFICATES.json,a4194b5be2f8bcc3309dd4d2089a5b6e828f6637ca2105b4aa364f8aacd0c4a1,release_label,27,"""ARC1-D"": {"
_ARC1_CLARIFICATION_WORK/ARC1_FRESH/_ARC1_CORRECTED_WORK/FRESH_VERIFY_R1_0/M3A_THREE_SCALE_MOVING_DIRECTION_ARC1/ARC1_CERTIFICATES.json,a4194b5be2f8bcc3309dd4d2089a5b6e828f6637ca2105b4aa364f8aacd0c4a1,release_label,31,"""ARC1-E"": {"
_ARC1_CLARIFICATION_WORK/ARC1_FRESH/_ARC1_CORRECTED_WORK/FRESH_VERIFY_R1_0/M3A_THREE_SCALE_MOVING_DIRECTION_ARC1/ARC1_CERTIFICATES.json,a4194b5be2f8bcc3309dd4d2089a5b6e828f6637ca2105b4aa364f8aacd0c4a1,release_label,35,"""ARC1-F"": {"
_ARC1_CLARIFICATION_WORK/ARC1_FRESH/_ARC1_CORRECTED_WORK/FRESH_VERIFY_R1_0/M3A_THREE_SCALE_MOVING_DIRECTION_ARC1/ARC1_CERTIFICATES.json,a4194b5be2f8bcc3309dd4d2089a5b6e828f6637ca2105b4aa364f8aacd0c4a1,release_label,39,"""ARC1-G"": {"
_ARC1_CLARIFICATION_WORK/ARC1_FRESH/_ARC1_CORRECTED_WORK/FRESH_VERIFY_R1_0/M3A_THREE_SCALE_MOVING_DIRECTION_ARC1/ARC1_CERTIFICATES.json,a4194b5be2f8bcc3309dd4d2089a5b6e828f6637ca2105b4aa364f8aacd0c4a1,release_label,43,"""ARC1-H"": {"
_ARC1_CLARIFICATION_WORK/ARC1_FRESH/_ARC1_CORRECTED_WORK/FRESH_VERIFY_R1_0/M3A_THREE_SCALE_MOVING_DIRECTION_ARC1/ARC1_CERTIFICATES.json,a4194b5be2f8bcc3309dd4d2089a5b6e828f6637ca2105b4aa364f8aacd0c4a1,release_label,47,"""ARC1-I"": {"
_ARC1_CLARIFICATION_WORK/ARC1_FRESH/_ARC1_CORRECTED_WORK/FRESH_VERIFY_R1_0/M3A_THREE_SCALE_MOVING_DIRECTION_ARC1/ARC1_CERTIFICATES.json,a4194b5be2f8bcc3309dd4d2089a5b6e828f6637ca2105b4aa364f8aacd0c4a1,release_label,51,"""ARC1-J"": {"
